Time,Rank,Price,BookName,Location
2019-03-17 23:01:46,33,16.99,Fiske Guide to Colleges 2019,https://www.amazon.com/Fiske-Guide-Colleges-2019-Edward/dp/1492662097/
2019-03-17 23:01:46,34,17.1,The Essential Oils Hormone Solution: Reclaim Your Energy and Focus and Lose Weight Naturally,https://www.amazon.com/Essential-Oil-Hormone-Solution-Hormones/dp/1635653150/
2019-03-17 23:01:46,35,43.43,"First Aid for the USMLE Step 1 2019,  Twenty-ninth edition",https://www.amazon.com/First-USMLE-Step-2019-Twenty-ninth/dp/1260143678/
2019-03-17 23:01:46,36,12.91,"Cracking the AP English Language & Composition Exam, 2019 Edition: Practice Tests & Proven Techniques to Help You Score a 5 (College Test Preparation)",https://www.amazon.com/Cracking-English-Language-Composition-Exam/dp/1524758035/
2019-03-17 23:01:46,37,11.55,"The Biology of Belief 10th Anniversary Edition: Unleashing the Power of Consciousness, Matter & Miracles",https://www.amazon.com/Biology-Belief-10th-Anniversary-Consciousness/dp/140195247X/
2019-03-17 23:01:46,38,104.16,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",https://www.amazon.com/Diagnostic-Statistical-Manual-Mental-Disorders/dp/0890425558/
2019-03-17 23:01:46,39,8.95,"The Elements of Style, Fourth Edition",https://www.amazon.com/Elements-Style-Fourth-William-Strunk/dp/020530902X/
2019-03-17 23:01:46,40,4.85,"Coloring Books for Kids & Toddlers: Animals Coloring: Children Activity Books for Kids Ages 2-4, 4-8, Boys, Girls, Fun Early Learning, Relaxation for ... Workbooks, Toddler Coloring Book (Volume 1)",https://www.amazon.com/Coloring-Books-Kids-Toddlers-Children/dp/1544139039/
2019-03-17 23:01:46,41,18.49,The Anatomy Coloring Book,https://www.amazon.com/Anatomy-Coloring-Book-Wynn-Kapit/dp/0321832019/
2019-03-17 23:01:46,42,15.63,Barron's AP Psychology with Online Tests,https://www.amazon.com/Barrons-AP-Psychology-Online-Tests/dp/1438010699/
2019-03-17 23:01:46,43,18.29,"Beyond the Pill: A 30-Day Program to Balance Your Hormones, Reclaim Your Body, and Reverse the Dangerous Side Effects of the Birth Control Pill",https://www.amazon.com/Beyond-Pill-Program-Hormones-Dangerous/dp/0062847058/
2019-03-17 23:01:46,44,19.59,"The Greenprint: Plant-Based Diet, Best Body, Better World",https://www.amazon.com/Greenprint-Plant-Based-Diet-Better-World/dp/1984823108/
2019-03-17 23:01:46,45,12.2,BRAVING THE WILDERNESS,https://www.amazon.com/Braving-Wilderness-quest-belonging-courage/dp/1785041754/
2019-03-17 23:01:46,46,18.99,Inconvenient Facts: The science that Al Gore doesn't want you to know,https://www.amazon.com/Inconvenient-Facts-science-that-doesnt/dp/1545614105/
2019-03-17 23:01:46,47,8.99,"How to Day Trade for a Living: A Beginner’s Guide to Trading Tools and Tactics, Money Management, Discipline and Trading Psychology",https://www.amazon.com/How-Day-Trade-Living-Management/dp/1535585951/
2019-03-17 23:01:46,48,20.39,ASVAB Prep Plus 2018-2019: 6 Practice Tests + Proven Strategies + Online + Video (Kaplan Test Prep),https://www.amazon.com/ASVAB-Prep-Plus-2018-2019-Strategies/dp/1506225934/
2019-03-17 23:01:46,49,3.99,"School Zone - Addition &  Subtraction 1-2 Deluxe Edition Workbook, Ages 6 to 8, Addition Facts, Subtraction Facts, Fact Tables, Fact Families, Adding Doubles, and More",https://www.amazon.com/School-Zone-Addition-Subtraction-Workbook/dp/158947323X/
2019-03-17 23:01:46,50,15.6,The Hero with a Thousand Faces (The Collected Works of Joseph Campbell),https://www.amazon.com/Thousand-Faces-Collected-Joseph-Campbell/dp/1577315936/
